,제목,가수,슬픔,분노,기쁨,긴장감,무서운,증오,차분히,섹시,브릿락,설렘,몽환
0,The Movement II,CB Mass,,,,,,1,,,,,
1,이력서,다이나믹 듀오,,,,,,1,,,,,
2,형이 들려주는 이야기 (더러운 힙합씬) (Feat.Koonta),데프콘,,,,,,1,,,,,
3,K.O.,"Hiphopmind, 레드 페이스, 나쑈, 3rd Rhymer",,,,,,1,,,,,
4,Do What I Do,버벌진트,,,,,,1,,,,,
5,진표생각2 - 랩퍼라면...Etc,김진표,,,,,,1,,,,,
6,진표생각 1,김진표,,,,,,1,,,,,
7,Throw Your Hands Up (너의 기준),유승준,,,,,,1,,,,,
8,Hip Hop,거리의 시인들,,,,,,1,,,,,
9,You,TBNY,,,,,,1,,,,,
10,나쁜X (BAD YEAR),San E,,,,,,1,,,,,
11,앰뷸런스,수퍼비 (SUPERBEE),,,,,,1,,,,,
12,100 (Feat. 천재노창),블랙넛 (Black Nut),,,,,,1,,,,,
13,Higher Than E-Sens,블랙넛 (Black Nut),,,,,,1,,,,,
14,빈지노,블랙넛 (Black Nut),,,,,,1,,,,,
15,배치기,블랙넛 (Black Nut),,,,,,1,,,,,
16,What!!,윤희중,,,,,,1,,,,,
17,"차렷! (Feat. 다이나믹 듀오, Tablo)",TBNY,,,,,,1,,,,,
